task,family,variant,base,mutation_target,model,trial,outcome_kind,analysis_status,behavioral,requirement_fidelity,full_contract,target_pass,non_target_fidelity,import_ok,resource_eligible,secs,prompt_bytes,prompt_chars,prompt_lines,first_prompt_tokens,first_cached_tokens,first_completion_tokens,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,total_tokens,api_calls,tool_calls,request_retries,agent_attempts,cost_usd,note
detreport_firstseen,detreport,firstseen,false,R5,qwen3.7-max,3,completed,graded,true,0.9090909090909091,false,1.0,0.9,true,true,81.222643973,2482,2446,45,1647,0,292,23777,12544,11233,3986,27763,7,8,0,1,0.03055675,
idledger_base,idledger,base,true,R5,glm-5.2,1,completed,graded,true,0.9230769230769231,false,1.0,0.9166666666666666,true,true,165.598855313,2649,2613,43,1419,704,134,139620,85312,54308,22248,161868,9,11,0,1,0.19610352000000003,
idledger_base,idledger,base,true,R5,glm-5.2,2,completed,graded,true,1.0,true,1.0,1.0,true,true,205.40197794,2649,2613,43,1419,704,22,137517,69760,67757,22432,159949,8,8,0,1,0.2116982,
idledger_base,idledger,base,true,R5,glm-5.2,3,completed,graded,true,0.9230769230769231,false,1.0,0.9166666666666666,true,true,115.232316645,2649,2613,43,1419,704,20,40600,25856,14744,12178,52778,5,5,0,1,0.08094736,
idledger_base,idledger,base,true,R5,minimax-m3,1,completed,graded,true,0.8461538461538461,false,1.0,0.8333333333333334,true,true,41.604622213,2649,2613,43,1681,1152,34,19721,16128,3593,2912,22633,6,7,0,1,0.00553998,
idledger_base,idledger,base,true,R5,minimax-m3,2,completed,graded,true,1.0,true,1.0,1.0,true,true,29.710881362,2649,2613,43,1681,896,45,18733,12160,6573,2589,21322,6,7,0,1,0.005808299999999999,
idledger_base,idledger,base,true,R5,minimax-m3,3,completed,graded,true,1.0,true,1.0,1.0,true,true,52.752012609,2649,2613,43,1681,896,34,24443,14464,9979,2880,27323,7,9,0,1,0.00731754,
idledger_base,idledger,base,true,R5,qwen3.7-max,1,completed,graded,true,0.8461538461538461,false,1.0,0.8333333333333334,true,false,141.534248601,2649,2613,43,1663,0,226,16214,6272,9942,6770,22984,5,5,2,1,0.038599,
idledger_base,idledger,base,true,R5,qwen3.7-max,2,completed,graded,true,0.8461538461538461,false,1.0,0.8333333333333334,true,false,164.596058058,2649,2613,43,1663,0,196,22069,8320,13749,7926,29995,7,6,1,1,0.04794875,
idledger_base,idledger,base,true,R5,qwen3.7-max,3,completed,graded,true,1.0,true,1.0,1.0,true,true,149.794816102,2649,2613,43,1663,0,207,21340,6272,15068,7790,29130,7,6,0,1,0.0488315,
idledger_firstwins,idledger,firstwins,false,R5,glm-5.2,1,completed,graded,true,1.0,true,1.0,1.0,true,true,138.859974454,2674,2638,43,1425,704,21,232545,184768,47777,21361,253906,13,12,0,1,0.20891588,
idledger_firstwins,idledger,firstwins,false,R5,glm-5.2,2,completed,graded,true,1.0,true,1.0,1.0,true,true,146.222349045,2674,2638,43,1425,704,20,100606,55104,45502,20062,120668,7,10,0,1,0.16630264,
idledger_firstwins,idledger,firstwins,false,R5,glm-5.2,3,completed,graded,true,0.9230769230769231,false,1.0,0.9166666666666666,true,true,147.175635521,2674,2638,43,1425,0,13386,120152,66304,53848,18020,138172,8,10,0,1,0.17191424,
idledger_firstwins,idledger,firstwins,false,R5,minimax-m3,1,completed,graded,true,1.0,true,1.0,1.0,true,true,51.94904148,2674,2638,43,1687,0,37,23420,13312,10108,3460,26880,7,8,0,1,0.00798312,
idledger_firstwins,idledger,firstwins,false,R5,minimax-m3,2,completed,graded,true,1.0,true,1.0,1.0,true,true,51.082920299,2674,2638,43,1687,1664,42,19181,14720,4461,3292,22473,6,7,0,1,0.006171899999999999,
idledger_firstwins,idledger,firstwins,false,R5,minimax-m3,3,completed,graded,true,0.9230769230769231,false,1.0,0.9166666666666666,true,true,41.531964318,2674,2638,43,1687,896,45,15029,7296,7733,2637,17666,5,6,0,1,0.00592206,
idledger_firstwins,idledger,firstwins,false,R5,qwen3.7-max,1,completed,graded,true,0.7692307692307693,false,1.0,0.75,true,true,155.273689373,2674,2638,43,1669,0,2282,16302,6272,10030,8133,24435,5,5,0,1,0.04382025,
idledger_firstwins,idledger,firstwins,false,R5,qwen3.7-max,2,completed,graded,true,0.7692307692307693,false,1.0,0.75,true,false,214.837644833,2674,2638,43,1669,0,222,33187,16768,16419,11073,44260,8,8,1,1,0.0641435,
idledger_firstwins,idledger,firstwins,false,R5,qwen3.7-max,3,completed,graded,true,0.8461538461538461,false,1.0,0.8333333333333334,true,true,154.681240492,2674,2638,43,1669,0,206,22843,8320,14523,8042,30885,6,8,0,1,0.04935125,
idledger_lastwins,idledger,lastwins,false,R5,glm-5.2,1,timeout,imputed_behavioral_failure,true,0.0,false,0.0,0.0,false,false,600.002092252,2696,2660,43,0,0,0,0,0,0,0,0,0,0,0,1,0.0,run timed out
idledger_lastwins,idledger,lastwins,false,R5,glm-5.2,2,completed,graded,true,0.9230769230769231,false,1.0,0.9166666666666666,true,true,207.695801434,2696,2660,43,1437,0,41,205540,135680,69860,29071,234611,10,9,0,1,0.26099320000000004,
idledger_lastwins,idledger,lastwins,false,R5,glm-5.2,3,completed,graded,true,0.9230769230769231,false,0.0,1.0,true,true,548.545611208,2696,2660,43,1437,704,21,142110,44096,98014,44966,187076,6,9,0,1,0.34653496,
idledger_lastwins,idledger,lastwins,false,R5,minimax-m3,1,completed,graded,true,1.0,true,1.0,1.0,true,true,43.817081106,2696,2660,43,1700,896,37,40844,26368,14476,4258,45102,9,10,0,1,0.01103448,
idledger_lastwins,idledger,lastwins,false,R5,minimax-m3,2,completed,graded,true,1.0,true,1.0,1.0,true,true,81.810712036,2696,2660,43,1700,896,38,28069,20352,7717,4142,32211,7,8,0,1,0.00850662,
idledger_lastwins,idledger,lastwins,false,R5,minimax-m3,3,completed,graded,true,0.9230769230769231,false,0.0,1.0,true,true,58.380730331,2696,2660,43,1700,1152,37,34723,23936,10787,4928,39651,8,9,0,1,0.01058586,
idledger_lastwins,idledger,lastwins,false,R5,qwen3.7-max,1,completed,graded,true,0.7692307692307693,false,0.0,0.8333333333333334,true,true,532.070776458,2696,2660,43,1685,0,6426,39113,20864,18249,28658,67771,9,8,0,1,0.13288675,
idledger_lastwins,idledger,lastwins,false,R5,qwen3.7-max,2,completed,graded,true,1.0,true,1.0,1.0,true,true,262.904416297,2696,2660,43,1685,0,5944,43856,25088,18768,13782,57638,8,8,0,1,0.0782785,
idledger_lastwins,idledger,lastwins,false,R5,qwen3.7-max,3,completed,graded,true,0.8461538461538461,false,1.0,0.8333333333333334,true,true,227.72361982,2696,2660,43,1685,0,196,55903,35712,20191,11727,67630,10,11,0,1,0.073679,
tokenquota_base,tokenquota,base,true,R4,glm-5.2,1,completed,graded,true,0.6,false,1.0,0.5555555555555556,true,true,256.151091525,2252,2222,38,1310,704,50,180798,110144,70654,22402,203200,10,10,0,1,0.22612184,
tokenquota_base,tokenquota,base,true,R4,glm-5.2,2,completed,graded,true,0.6,false,1.0,0.5555555555555556,true,true,196.905083503,2252,2222,38,1310,704,15,27703,11456,16247,11169,38872,5,6,0,1,0.07486796000000001,
tokenquota_base,tokenquota,base,true,R4,glm-5.2,3,completed,graded,true,0.6,false,1.0,0.5555555555555556,true,true,238.673444357,2252,2222,38,1310,704,20,124612,88448,36164,18525,143137,9,9,0,1,0.15513608,
tokenquota_base,tokenquota,base,true,R4,minimax-m3,1,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,true,40.757622218,2252,2222,38,1580,896,35,27112,17152,9960,3561,30673,8,9,0,1,0.00829032,
tokenquota_base,tokenquota,base,true,R4,minimax-m3,2,completed,graded,true,0.6,false,1.0,0.5555555555555556,true,true,23.212144662,2252,2222,38,1580,1152,43,12839,8832,4007,1991,14830,5,6,0,1,0.004121219999999999,
tokenquota_base,tokenquota,base,true,R4,minimax-m3,3,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,true,33.722228258,2252,2222,38,1580,0,41,15180,6016,9164,3298,18478,5,7,0,1,0.00706776,
tokenquota_base,tokenquota,base,true,R4,qwen3.7-max,1,completed,graded,true,0.6,false,1.0,0.5555555555555556,true,true,79.927625264,2252,2222,38,1545,0,148,14417,4096,10321,4013,18430,5,5,0,1,0.028462,
tokenquota_base,tokenquota,base,true,R4,qwen3.7-max,2,completed,graded,true,0.6,false,1.0,0.5555555555555556,true,true,78.821567829,2252,2222,38,1545,0,169,14212,4096,10116,4038,18250,5,5,0,1,0.0282995,
tokenquota_base,tokenquota,base,true,R4,qwen3.7-max,3,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,true,124.371155232,2252,2222,38,1545,0,218,21400,8320,13080,6420,27820,7,7,0,1,0.041465,
tokenquota_ceiling,tokenquota,ceiling,false,R4,glm-5.2,1,completed,graded,true,0.6,false,1.0,0.5555555555555556,true,true,373.700482816,2330,2300,38,1320,0,48,68085,38528,29557,13301,81386,7,7,0,1,0.10992148,
tokenquota_ceiling,tokenquota,ceiling,false,R4,glm-5.2,2,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,true,331.111186387,2330,2300,38,1320,896,9843,439572,352576,86996,25181,464753,22,22,0,1,0.32426056,
tokenquota_ceiling,tokenquota,ceiling,false,R4,glm-5.2,3,completed,graded,true,0.6,false,1.0,0.5555555555555556,true,true,142.844827147,2330,2300,38,1320,0,16043,99401,75840,23561,20519,119920,6,6,0,1,0.14298740000000001,
tokenquota_ceiling,tokenquota,ceiling,false,R4,minimax-m3,1,completed,graded,true,0.6,false,1.0,0.5555555555555556,true,true,66.632786785,2330,2300,38,1590,896,43,53742,44160,9582,3739,57481,13,14,0,1,0.010011,
